Legal Due Diligence,Diligence,,
,"Health, Worker Protection or Environmental Liability, Pending or Threatened",,"All ""potentially responsible party"" (""PRP"") letters; notices of violations (""NOV’s"") received during the last 5 years; Consent Decrees, Administrative Orders, warning letters, Final Judgments or Settlement Agreements; pleadings, correspondence and any other material document relating to any health, worker protection or environmental liability, pending or threatened."
,Reports of Environmental Consultants,,"Any reports of environmental consultants completed or amended since during last 10 years (or such shorter period from the date the Company or any subsidiary was formed), in each case relating to real property currently or formerly owned or leased (or anticipated to be owned or leased in the future). List of properties or facilities sold or closed during last 10 years (or such shorter period from the date the Company or any subsidiary was formed). Copies of any contracts containing currently effective agreements to accept/retain or indemnify for environmental liabilities."
,Expenditures or Anticipated Expenditures,,"Any documents relating to expenditures or anticipated expenditures over the next 10 years by the Company or any subsidiary, including the establishment of reserves, in connection with environmental liabilities (whether present or contingent) or compliance with environmental regulations."
,Intra-Company Correspondence Relating to Environmental Matters,,"All intra-company correspondence relating to environmental matters, including memoranda and reports to the Company or any subsidiary."
,OSHA,,OSHA
,Documentation Regarding all OSHA Inspections,,Description of and copies of all documentation regarding all OSHA inspections in the last five years.
,Injury & Illness Prevention Programs,,Description of injury and illness prevention programs.
,Emergency Action Plans,,Emergency action plans.
,Injury & Illness Logs & Reports,,Injury and illness logs and reports.
,Occupational Safety & Health Report Form,,Division of Occupational Safety and Health report form.
,Existing Reports,,Existing reports.
Financial Information,,,
,Company's Audited Consolidated Financials ,,A copy of Company's audited consolidated financials for the past five fiscal years.
,Monthly Internal Management Reports & Detailed Operating Statements,,"For each month from the last two fiscal years, and for each month of the current fiscal year available, provide copies of the monthly internal management reports and the detailed operating statements. Include any explanatory or descriptive comments and any discussions of operating results (e.g., highlights of performance, variances from budget standards, etc.)."
,Capital Expenditure Plan,,"Provide a detailed capital expenditure plan for the next three years by project/major initiative, including any store or facility expansion (including costs, status of program, and expected completion in phases or total), store maintenance, and store renovation."
,Depreciation Schedule,,Provide a detailed depreciation schedule for the next three years.
,Related Party Payables,,Account detail for related party payables.
,Operating Budgets & Strategic Plans,,"The Company’s operating budgets and strategic plans for the current and next fiscal year and any reports, projections, forecasts or papers relating to any long-term budget, capital development, restructuring program or strategic plan of the Company, including any plans regarding acquisitions, divestitures, systems and operations."
,Auditors Review Letters & Attorney Responses,,Auditors review letters for the past five years and attorney responses to requests for information from auditors for the same period.
,Letters Prepared by the Company's Independent Public Accountants & Management's Responses,,"All letters to management of the Company prepared by the Company’s independent public accountants and such management’s responses thereto, as to matters arising in connection with their annual audits for the company’s last five fiscal years."
,Disagreements with any of the Company's Independent Auditors regarding Financial Reporting,,Schedule of any disagreements with any of the Company’s independent auditors concerning any of the Company’s financial reporting during the preceding five fiscal years.
,Accounting Policies,,Summary of Accounting Policies applicable to the Company (to the extent different from GAAP).
,Prepaid or Deferred Income Expenses,,Brief description of nature of prepaid or deferred income or expenses. Brief description of intercompany charges policy and all intercompany accounts.
,Analysis of the Company and each Subsidiary prepared by Management,,"Copies of any analysis of the Company and each subsidiary prepared within the last five (5) years by management, investment bankers, consultants, engineers, management consultants, accountants, or others, including marketing studies, rate analysis, credit reports, and other types of reports, financial or otherwise."
,Budget Projections,,Copies of any budget projections.
,Bad Debt Reserve,,Brief description of basis for establishing bad debt reserve.
,Pricing Procedures,,Basis of inventory pricing procedures.
Human Resources,,,"
Human Resources"
,Organizational Chart,,Organization chart.
,Employee Benefits,,Summary of employee benefits.
,List of all Employees,,"List of all employees, including name, title, salary, and job code."
,Management Bonuses and Benefits,,Schedule of management bonuses and benefits for previous three years.
,Employment Agreements,,Copies of all employment agreements.
,Employees Currently on Leave Pursuant to the Family and Medical Leave Act,,Provide name and description of circumstances of any employees currently on leave pursuant to the Family and Medical Leave Act.
,401(k) Plan,,401(k) Plan.
,IRS Determination Letter,,"IRS Determination Letter, including 401(k) Profit Sharing Plan letters."
,"Prospectus, Summary Plan Description & Summary Annual Report",,Prospectus and Summary Plan Description (SPD) and Summary Annual Report.
,Plan Documents & Trust Agreement,,Plan documents and trust agreement.
,Plan Administrator Contract,,Plan administrator contract.
,Fiduciary Insurance Contracts & Fiduciary Bonds,,Fiduciary insurance contract(s) and fiduciary bonds.
,Investment Advisor Manager Agreements,,Investment advisor manager agreement(s).
,Plan Contributions,,"Total contributions to the plan since for the last five years, broken down by employer and employee contributions."
,"Results of Section 415, Top Heavy, 401(k) & 401(m) Testing",,"Documents showing results of Section 415, top heavy, 401(k), and 401(m) testing."
,Plan Merger Information,,"Plan merger information, including any merger agreement(s) and indemnification agreement(s)."
,Form 5300 Filings,,Form 5300 filings as to any plan amendments since ERISA.
,Form 5500 Series Filings,,"Form 5500 series filings (including attachments) for the last five years, and related summary annual reports."
,Board of Director's Resolutions ,,"Board of Director's Resolutions amending, terminating, or adopting plan and all amendments."
,Trustee/Investment Reports,,Trustee/investment reports for the last five years.
,Annual Accounting & Asset Valuation Reports,,Annual accounting and asset valuation reports.
,Submission to the IRS Reports & Matters,,"Relevant submission to the IRS reports and matters, including IRS private letter rulings issued with respect to the plan."
,Internal Procedures Memorandum,,"Internal Procedures Memorandum, if any (i.e., loan procedures, qualified domestic relation order procedures, etc.)."
,Separate Lines of Business Involved in Acquisition,,"Description of any ""separate lines"" of business involved in acquisition."
,"Affiliated Service Organizations, Controlled Groups, Shared Employees, Leased Employees or Affiliated Management Organizations",,"Description of any affiliated service organizations, controlled groups, shared employees, leased employees or affiliated management organizations involved with the Company."
,Investments in Employer Securities,,Description of all investments in employer securities since ERISA.
,Defined Benefit Plans,,Defined Benefit Plans.
,"Plan Documents, Amendments & Board Resolutions",,Copies of plan documents and any amendments and board resolutions.
,"Pension Benefit Guaranty Corporation (""PBGC"") Opinion Letters",,"Pension Benefit Guaranty Corporation (""PBGC"") PBGC Opinion Letters issued with respect to the plan."
,PBGC Form 1,,PBGC Form 1 for premium payments for the last five years.
,PBGC or Opinion Filings,,PBGC or opinion filings (if there has been a plan termination with respect to any plan maintained by the Company).
,PBGC Reporting and Disclosures,,"Copies of PBGC reporting and disclosure, including payment of annual premiums and notices of any ""reportable events."""
,Welfare Benefits Plans,,Welfare Benefits Plans.
,Plan Documents & Amendments,,Plan documents and any amendments.
,"Board of Director's Resolutions Amending, Terminating, or Adopting Plan",,"Board of Director's resolutions amending, terminating, or adopting plan."
,Insurance Contracts,,"Insurance contracts (if insured), including any stop-loss coverage policies or contracts."
,Reports & Disclosure Documents to Affected Plan Participants,,"Reports and disclosure documents distributed to affected plan participants, including handbooks, booklets, Summary Annual Reports and summary plan descriptions."
,Retiree Medical Care & Life Insurance Plan,,"Retiree medical care and life insurance (or self-insured) plans, if any."
,IRS Form 5500 Series Filings & Summary Annual Reports,,IRS Form 5500 Series filings (including attachments) and summary annual reports to participants for the last five years.
,"COBRA Compliance Procedures & Assessment of Liability for ""Run Out"" of Existing COBRA Qualified Beneficiaries",,"Description of COBRA compliance procedures and assessment of liability for ""run out"" of existing COBRA qualified beneficiaries."
,HIPAA Compliance Procedures,,Description of HIPAA compliance procedures.
,Retiree Liability Exposure of Seller,,"Description of any ""retiree"" liability exposure of seller."
,Health Care Plans or Reimbursement Programs,,Health care plans or reimbursement programs.
,Life Insurance Plans,,Life insurance plans (including group and key-man life insurance).
,Disability Insurance Policies,,Disability insurance policies.
,Supplemental Unemployment Benefit Plans,,Supplemental unemployment benefit plans.
,Directors' and Officers' Insurance Policies,,Directors' and officers' insurance policies.
,Workers' Compensation Insurance,,Workers' compensation insurance.
,Executive Medical Plan,,Executive medical plan.
,Executive Benefit Programs,,"Executive benefit programs (physicals, club memberships, etc.)"
,Employee Pension Plans,,Employee pension plans.
,Actuarial Report,,Actuarial report.
,Plan Administrator Contract,,Plan administrator contract.
,Internal Procedures Memorandum,,Internal procedures memorandum.
,Withdrawal Liability from Multiemployer Pension Plans,,Estimates of withdrawal liability from multiemployer pension plans.
,Executive Retirement Plan & Amendments,,Executive retirement plan and any amendments thereto.
,Actuarial Report,,Actuarial report.
,Accrued Benefit Obligations,,Schedule of accrued benefit obligations.
,"Bonus and/or Commission Plans, Profit-Sharing Plans, or Other Incentive Compensation Plans",,"Bonus and/or commission plans, profit-sharing plans, or other incentive compensation plans."
,Deferred Stock Compensation Plan & Deferred Stock Compensation Agreements,,"Copies of any deferred stock compensation plan, together with copies of any deferred stock compensation agreements."
,"Stock Option Plans, Equity Participation Plans or Employee Stock Purchase Plans & Purchase Agreements",,"Copies of any stock option plans, equity participation plans (including phantom stock plans) or employee stock purchase plans, together with copies of option or purchase agreements."
,Profit-Sharing Plans,,Profit-sharing plans.
,IRS Determination Letters for Tax-Qualified Employee Benefit Plans,,IRS determination letters issued for tax-qualified employee benefit plans.
,Employee Assistance Programs,,Documentation regarding any employee assistance programs.
,Policies & Procedures,,Policies and procedures.
,Employee Handbooks or Manuals,,Employee handbooks or manuals.
,Written Policies & Description of Unwritten Policies,,Copies of written policies and description of unwritten policies.
,Vacation & Sick Leave,,Detail of accrued vacation and sick leave.
,Payroll Programs,,"Description of payroll programs (vacation, holidays, paid-day-off, funeral, jury, etc.)"
,"Correspondence with the Department of Labor, the Occupational Safety and Health Administration, the Equal Employment Opportunity Commission & the Immigration and Naturalization Service",,"Copies of any and all correspondence with the Department of Labor, the Occupational Safety and Health Administration, the Equal Employment Opportunity Commission and the Immigration and Naturalization Service."
,Employee Classification & Headcount,,Detailed employee classification and headcount (by business unit).
,Salary vs. Hourly,,Salary vs. hourly.
,Maintenance & Service,,Maintenance and service.
,Sales,,Sales.
,Administrative,,Administrative.
,Management,,Management.
,"Severance Agreements or Change of Control or ""Golden Parachute"" Contracts",,"All severance agreements or change of control or ""golden parachute"" contracts to which the Company is a party. Description of severance policies, written or oral, and whether or not embodied in an agreement."
,"Salary Continuation Plans for Disability, Illness, Leave of Absence or Other Circumstances",,"Description of salary continuation plans for disability, illness, leave of absence or other circumstances."
,Tenure & Compensation for Key Employees,,"List of tenure and compensation of key employees. For employees compensated by salary and bonus, please provide any terms or formula for receiving the bonus."
,Confidentiality or Non-Competition Agreements,,"Confidentiality or non-competition agreements to which officers, key employees or consultants may be parties from previous employment."
,Agreements or Policies Regarding Confidentiality & Rights to Inventions & Works for Hire of Employees,,All agreements or policies regarding confidentiality and rights to inventions and works for hire of employees.
,Collective Bargaining Agreements,,Copies of all collective bargaining agreements.
,Union Organizing Attempts,,Description of union organizing attempts in the last five years.
,Workers' Compensation Claims Alleged Against the Company,,"A list of all workers' compensation claims alleged against the Company that are currently pending, including claims history and information covering administration. Please include a report of any on-the-job injuries for which an employee may be eligible for workers' compensation benefits but has not yet filed for such benefits."
,Labor Arbitration Decision or Award Rendered ,,"Copies of any labor arbitration decision or award rendered in the past three years, and a copy of any pending demand for arbitration involving the Company. This request includes any arbitration award issued pursuant to the arbitration provision of any employment contract involving the Company."
,Grievance Logs or Summary of Grievances,,"Copies of all grievance logs or a summary of grievances filed against the Company within the past two years, including grievances filed by non-union personnel regarding such issues as discrimination or sexual harassment. Please provide any documentation as to the investigation and disposition of any grievances within the past two years."
,Charges or Complaints,,"Copies of all charges or complaints against the Company filed with or by the NLRB, EEOC, OFCCP, OSHA, U.S. Department of Labor, or any other Federal, state or local agency dealing with any form of employment discrimination or other employment matter (excluding unemployment compensation and workers' compensation claims) within the past three years, together with documents showing the disposition or present status of such matters. To the extent that the Company is aware of possible charges or complaints that have not yet been filed, please provide an explanation of the conduct underlying the potential filings."
,Complaints Against the Company ,,"Copies of all complaints against the Company filed in the past three years (or if still pending, whenever filed) in any state or Federal court regarding any employment matter under Federal or state law including, but not limited to, allegations of employment discrimination, wrongful discharge or breach of contract related to employment (including actions under Section 301 of the Labor-Management Relations Act, 29 U.S.C. §185), or violations of Title VII of the Civil Rights Act of 1964, as amended, the Age Discrimination in Employment Act, as amended, the Rehabilitation Act of 1973, as amended, the Civil Rights Act of 1866, as amended, the Americans with Disabilities Act, and Fair Labor Standards Act, as amended, the Family and Medical Leave Act of 1993, the Worker Adjustment and Retraining Notification Act or the Employee Retirement Income Security Act, as amended, together with any documents showing the disposition or present status of such matters."
,Petition for a Representation or Decertification Election ,,"Copies of any petition for a representation or decertification election involving Company employees filed within the past two years, together with any documents showing the disposition of such petitions. Copies of any Certification of Election Results in the possession of the Company."
,Affirmative Action Plans,,Copies of all affirmative action plans of the Company.
,Total Number of Employees,,"A summary showing by location total number of employees, number of employees in the bargaining unit(s) (if any), number of employees on layoff or leave of absence for any reason, and any information reflecting the rights of recall or reemployment of such employees."
,Correspondence with the U.S. Immigration & Naturalization Service,,Copies of correspondence with the U.S. Immigration and Naturalization Service with respect to current employees of the Company.
,Requests for Audits of Employee Records,,"Copies of all requests for audits of employee records made by the U.S. Department of Labor, OSHA, OFCCP, and any other Federal, state or local agency with audit authority during the past two years, and all documents summarizing the results of the audit and any disposition of violation or citations issued as a result of the audit."
Information Technology & Software,,,
,Number of Computers,,"List types, configurations and number of computers (AS/400's, PC's, LAN's, Printers, Communication Lines)."
,Long Term-Financial Commitments with Respect to Equipment,,Describe and provide documentation relating to any long term-financial commitments with respect to equipment.
,Other Hardware,,Detail listing of all other hardware.
,Vendor-Supplies Accounting Software,,"If Company uses any vendor-supplied accounting software, provide name of vendor and any handbooks or runbooks."
,Internally Developed Accounting Software,,"If Company uses any internally developed accounting software, provide system documentation."
,Contracts with Outside Resources for Services or Software,,Any contracts with outside resources for services or software
,License Terms for Major Software,,License terms for major software.
,All Other Software,,Detail listing of all other software.
,Significant Accounting & Operational Functions Supported by Computer,,List all significant accounting and operational functions currently supported by computer.
,Source Code for Software,,Does Company own or have access to the source code for its software?
,Internet Addresses & Websites of the Company,,List any Internet addresses or web sites of the Company.
Intellectual Property,,,
,"United States & International Patents, Patents Applications & Inventions",,"List of all United States and international patents, patent applications and inventions (patents not yet applied for) owned or used by the Company."
,"United States & International Registered Copyrights, Trademarks, Service Marks, Trade Dress or Trade Names",,"List of all United States and international registered copyrights, trademarks, service marks, trade dress or trade names held or used (presently or within the last five years) by the Company."
,All Other Intellectual Property Interests of the Company,,"Identify all other intellectual property interests of the Company, including any information the Company classifies as a trade secret."
,Persons or Entities with Interest in any of the Intellectual Property Listed,,List of any other persons or entities with interest in any of the intellectual property listed in response to this request.
,Correspondence of Allegations,,Copies of any correspondence alleging that the Company infringed or misappropriated another's intellectual property rights.
,Pleadings Relating to any Litigation Regarding Intellectual Property Rights,,"Copies of the pleadings relating to any litigation regarding intellectual property rights in which the Company has been involved, including the complaint, answer, any dispositive motions, consent decrees and other judgments, settlement agreements and material settlement correspondence."
Insurance,,,
,Insurance Policies Held by or Applicable to the Company,,"Copies of all insurance policies held by or applicable to the Company to the extent not otherwise provided herein (including property and casualty insurance, general liability insurance and product liability insurance)."
,Significant Insurance Claims and Losses,,List of significant insurance claims and losses during the last three years.
,Schedule of Insured Vehicles,,Schedule of insured vehicles.
,Employees Furnished with Vehicles,,List of employees furnished with vehicles with model/year of vehicle.
,Risks Not Covered or Where Coverage Was Denied,,Description of any risks not covered or where coverage has been denied.
,"Significant Changes in Coverage, Premiums or Other Terms for Insurance Policies",,"Description of any significant changes in coverage, premiums or other terms of any of the insurance policies in the past three years or expected within the next year."
Federal & State Securities Law Compliance,,,
,Documents Filed and Correspondence with any State or Foreign Securities Regulator,,"Documents filed and correspondence with any state or foreign securities regulator, including: notices of intent to rely on exemptions from registration, registration statements, rescission offers, requests for interpretative rulings, and cease-and-desist orders."