Minute Book,Closing,Minute Book,
,,,
Stage/Section,Task,Folder,Description
Action by Organizer/Incorporator,,,
Articles of Organization/Incorporation,,,
Foreign Qualifications,,,
Assumed Name Filings,,,
Operating Agreement/Bylaws,,,
Minutes – Members/Shareholders,,,
Minutes – Managers/Board of Directors,,,
Equity Plans,,,
Equity Agreements,,,
Unit Certificates/Share Certificates,,,
Unit Transfer Ledger/Stock Ledger,,,
Federal Filings - Tax,,,
State Filings - Tax,,,
Miscellaneous,,,